res_group_mapping,scale_hps,zeta1,zeta2,IDP_weight,OP_weight,MDP_weight,train_IDP_rRMSE,train_IDP_delta,test_IDP_rRMSE,test_IDP_delta,train_OP_rRMSE,train_OP_delta,train_MDP_rRMSE,train_MDP_delta,final_loss
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_0.0_MDP_w_0.0_10_zeta_0.01_0.005_gauss_delta_mu_0.25_gauss_width_0.1,0.01,0.005,1.0,0.0,0.0,0.12397235738238246,-0.0038109526149980597,0.22916665363000807,-0.20545249132964702,0.47258393130599613,0.4226789958227612,0.173560405267562,0.02023351677212495,0.075388103723526
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.0_10_zeta_5.0_0.01_gauss_delta_mu_0.25_gauss_width_0.1,5.0,0.01,0.5,1.0,0.0,0.2102965601566732,-0.34649667347665547,0.3141910372045184,-0.7709995981010193,0.1271760802646205,0.02476245292671188,0.3661568091363737,-1.1660819143005179,0.3178129196166992
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.2_10_zeta_1.5_0.001_gauss_delta_mu_0.25_gauss_width_0.1,1.5,0.001,0.5,1.0,0.2,0.11092841000590446,0.09466107084294974,0.1110779428113745,0.12184077775576746,0.18832183831132723,0.1355440330795997,0.12494985688243071,-0.24200266756566566,0.7523232102394104
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.0_10_zeta_2.0_0.01_gauss_delta_mu_0.25_gauss_width_0.1,2.0,0.01,0.5,1.0,0.0,0.18688469926805554,-0.300840672442931,0.3217195716300984,-0.7785050576638987,0.12211703870113613,0.025385823102719432,0.363699040332334,-1.157477345343015,0.3142002820968628
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.0_10_zeta_1.0_0.001_gauss_delta_mu_0.25_gauss_width_0.1,1.0,0.001,0.5,1.0,0.0,0.16569607003648568,-0.25138538655721177,0.25369487128701895,-0.5486347044383026,0.13466059288410132,0.03703651864098605,0.3513075044677131,-1.1060552653508728,0.209867924451828
default,train_CL_ah_gau/results/group_default_IDP_w_0.9_OP_w_1.0_MDP_w_0.1_10_zeta_1.5_0.0001_gauss_delta_mu_0.25_gauss_width_0.1,1.5,0.0001,0.9,1.0,0.1,0.09173987904395478,0.021817346851162,0.12765919656787755,0.08265254640259183,0.21798382973069338,0.15401021118185443,0.19932458661314487,-0.5098256608318703,0.5624834895133972
default,train_CL_ah_gau/results/group_default_IDP_w_0.8_OP_w_0.5_MDP_w_0.0_10_zeta_0.01_0.005_gauss_delta_mu_0.25_gauss_width_0.1,0.01,0.005,0.8,0.5,0.0,0.15909396034508844,0.06647928276406088,0.26467214703682557,-0.5095159538921412,0.4549573228704272,0.38290417767080404,0.1859472299693644,0.024600352595708568,0.1687153577804565
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_1.0_MDP_w_0.2_10_zeta_1.5_0.001_gauss_delta_mu_0.25_gauss_width_0.1,1.5,0.001,1.0,1.0,0.2,0.0980823041553981,0.07138246672544425,0.1133621699245702,0.07195882431246675,0.17147049541215686,0.135940674453417,0.15015892330930197,-0.17586911192686086,0.8116052746772766
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.0_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,1.0,0.005,0.5,1.0,0.0,0.15670674738262144,-0.24247850215037683,0.2752707216867962,-0.6425655263468326,0.1298597769941932,0.05454999447459798,0.3402507360332656,-1.059705436680809,0.2658973634243011
default,train_CL_ah_gau/results/group_default_IDP_w_0.8_OP_w_1.0_MDP_w_0.0_10_zeta_0.01_0.005_gauss_delta_mu_0.25_gauss_width_0.1,0.01,0.005,0.8,1.0,0.0,0.16154983539521706,0.08368057682018296,0.2661839857210839,-0.33614833582709347,0.44306114239947314,0.3759238521180424,0.18732365245730018,-0.294906442391773,0.2279234379529953
default,train_CL_ah_gau/results/group_default_IDP_w_0.9_OP_w_1.0_MDP_w_0.3_10_zeta_1.5_0.0001_gauss_delta_mu_0.25_gauss_width_0.1,1.5,0.0001,0.9,1.0,0.3,0.10475643200797816,0.0909558483381758,0.11312584308486716,0.13934643674888242,0.20707450915455783,0.14984215333580989,0.12818520986584517,0.0090593223438568,0.9715413451194764
default,train_CL_ah_gau/results/group_default_IDP_w_0.9_OP_w_1.0_MDP_w_0.2_10_zeta_1.5_0.0001_gauss_delta_mu_0.25_gauss_width_0.1,1.5,0.0001,0.9,1.0,0.2,0.10531134300252463,0.06936474088322232,0.1352827745948883,0.051200333296989364,0.2064974564788514,0.14598998844351888,0.11855580904159657,-0.01416787014933456,0.7804432511329651
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_0.8_MDP_w_0.0_10_zeta_0.01_0.005_gauss_delta_mu_0.25_gauss_width_0.1,0.01,0.005,1.0,0.8,0.0,0.1702068317879412,0.09573202190963831,0.27404946663039553,-0.31788625954846617,0.4263204949244877,0.3536414226299011,0.17383239118158095,0.0048185065878419715,0.2225283235311508
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.2_10_zeta_2.0_0.001_gauss_delta_mu_0.25_gauss_width_0.1,2.0,0.001,0.5,1.0,0.2,0.0985624845525076,0.0698855570074963,0.1238044041535695,0.04902508715058566,0.18504591734486023,0.12553069385945204,0.17399140306153887,-0.37260098907170136,0.7644574642181396
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_1.0_MDP_w_0.4_10_zeta_1.5_1e-05_gauss_delta_mu_0.25_gauss_width_0.1,1.5,1.0,1.0,1.0,0.4,0.11057260435498163,0.10394204315953073,0.12457030182913593,0.1186391876628268,0.2385742178317425,0.1920639747129806,0.14703116035397742,-0.17329810074222884,1.1556397676467896
default,train_CL_ah_gau/results/group_default_IDP_w_0.8_OP_w_0.5_MDP_w_0.5_10_zeta_0.01_0.005_gauss_delta_mu_0.25_gauss_width_0.1,0.01,0.005,0.8,0.5,0.5,0.2214612089147773,0.4462796810145476,0.12687487957072716,0.15456653713782476,0.4918105001934145,0.4665644460564526,0.11522182211006446,0.04539202864004126,1.053054928779602
default,train_CL_ah_gau/results/group_default_IDP_w_0.8_OP_w_1.0_MDP_w_0.2_10_zeta_1.5_0.001_gauss_delta_mu_0.25_gauss_width_0.1,1.5,0.001,0.8,1.0,0.2,0.09865137228421735,0.07340834898179953,0.1096911325104078,0.08381125380656824,0.2284050264276157,0.16617150988322846,0.14117706379531209,-0.175145793138494,0.7890169620513916
default,train_CL_ah_gau/results/group_default_IDP_w_0.9_OP_w_1.0_MDP_w_0.1_10_zeta_1.5_0.001_gauss_delta_mu_0.25_gauss_width_0.1,1.5,0.001,0.9,1.0,0.1,0.0910961794844156,0.02152500222904449,0.12692725577705188,-0.04126470565156085,0.20293501547290108,0.14824905014240305,0.2122662267603195,-0.49127253568158546,0.5830318927764893
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.05_gauss_delta_mu_0.25_gauss_width_0.1,1.0,0.05,0.5,1.0,1.0,0.1355156085985791,0.1799619686024983,0.13163392926204673,0.1805971682471372,0.2700873017541013,0.22289455166833222,0.12108857793349906,-0.0885230390983219,2.2578282356262207
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.2_10_zeta_0.5_0.001_gauss_delta_mu_0.25_gauss_width_0.1,0.5,0.001,0.5,1.0,0.2,0.13222083805185458,0.15835235095410638,0.12713574824274823,0.19576280630550583,0.2283991295803117,0.19056433330150382,0.1502327204090547,-0.055034772304540874,0.7057652473449707
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.01_gauss_delta_mu_0.25_gauss_width_0.1,1.0,0.01,0.5,1.0,1.0,0.12887571067676445,0.16312488864015823,0.1331846954489155,0.18962263483200048,0.24808656925948505,0.2052125857546741,0.1355923176617991,-0.06740882847972893,2.0875368118286133
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_1.0_MDP_w_0.2_10_zeta_1.0_0.0001_gauss_delta_mu_0.25_gauss_width_0.1,1.0,0.0001,1.0,1.0,0.2,0.11190250009317865,0.10349363838140625,0.11666314752851771,0.142058517124862,0.2331391355553721,0.17037763057979094,0.13422163164927792,-0.025939644730549875,0.7710672616958618
default,train_CL_ah_gau/results/group_default_IDP_w_0.0_OP_w_0.0_MDP_w_0.0_10_zeta_0.01_0.005_gauss_delta_mu_0.25_gauss_width_0.1,0.01,0.005,0.0,0.0,0.0,0.174728214410819,0.25147096155057547,0.2721832620336106,0.5721703954119017,0.4341839805170987,0.39792739091910173,0.19507400331089134,0.3260669795591543,0.0
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.4_10_zeta_1.0_1e-05_gauss_delta_mu_0.25_gauss_width_0.1,1.0,1.0,0.5,1.0,0.4,0.12270146570989382,0.14085959869677944,0.15214838641257,0.2183805233810173,0.218449179717153,0.167241228496032,0.11391127762902062,0.04856974538454055,1.0701862573623655
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_1.0_MDP_w_0.4_10_zeta_0.5_0.0001_gauss_delta_mu_0.25_gauss_width_0.1,0.5,0.0001,1.0,1.0,0.4,0.12185169016002675,0.13826235195313263,0.12262985061450782,0.1307003479091862,0.25399339797673975,0.2080832620498975,0.08422637417323618,0.0022427805869499415,1.0991065502166748
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_1.0_MDP_w_0.0_10_zeta_0.01_0.005_gauss_delta_mu_0.25_gauss_width_0.1,0.01,0.005,1.0,1.0,0.0,0.162047267092705,0.07338243102830413,0.23831580180149234,-0.2776031788940571,0.4165955713359496,0.3581919967117799,0.16122978232823634,-0.15895320451502448,0.2456719875335693
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_1.0_MDP_w_0.8_10_zeta_1.5_0.0001_gauss_delta_mu_0.25_gauss_width_0.1,1.5,0.0001,1.0,1.0,0.8,0.11380443675813891,0.11990091008456939,0.12216310622967635,0.16320184804492296,0.2745699281314437,0.2243847560724541,0.10483929837799162,-0.0471342759478733,1.7979707717895508
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.0_10_zeta_1.0_0.0001_gauss_delta_mu_0.25_gauss_width_0.1,1.0,0.0001,0.5,1.0,0.0,0.2206782608328475,-0.34645241169915475,0.2632683768779945,-0.48027325743813,0.13495996655597345,0.05125995645089736,0.34950823542062315,-1.0778931486376377,0.1827916353940963
default,train_CL_ah_gau/results/group_default_IDP_w_0.8_OP_w_0.8_MDP_w_0.0_10_zeta_0.01_0.005_gauss_delta_mu_0.25_gauss_width_0.1,0.01,0.005,0.8,0.8,0.0,0.1727662812542229,0.06600026330773294,0.2744867783113864,-0.4417789750198738,0.40542445337746497,0.33750089232828173,0.20906060073427246,0.021248139449874318,0.2058434039354324
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.2_10_zeta_5.0_0.01_gauss_delta_mu_0.25_gauss_width_0.1,5.0,0.01,0.5,1.0,0.2,0.08990544672249885,0.03236724537773198,0.12763060953287095,0.017756958315269838,0.20193049864621124,0.12101475244198186,0.252714000546507,-0.7512151863072744,0.8816424608230591
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_1.0_MDP_w_0.2_10_zeta_1.0_0.0005_gauss_delta_mu_0.25_gauss_width_0.1,1.0,0.0005,1.0,1.0,0.2,0.11211273854094461,0.10983933237163003,0.1165437536703581,0.1049338362304213,0.2558960558004777,0.19039377377555963,0.1198572605966547,0.06648075303438658,0.7815641760826111
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_1.0_MDP_w_0.4_10_zeta_0.5_0.0005_gauss_delta_mu_0.25_gauss_width_0.1,0.5,0.0005,1.0,1.0,0.4,0.12274795279255402,0.13776643290353882,0.12829200669424415,0.2040728298627414,0.27379930032150274,0.21945819895280375,0.14171705210081928,-0.015651707707566374,1.1093829870224
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.0_10_zeta_1.0_0.0005_gauss_delta_mu_0.25_gauss_width_0.1,1.0,0.0005,0.5,1.0,0.0,0.20981702646204337,-0.3226200091845251,0.2594947490423431,-0.5872021877842128,0.141900055333545,0.06020911185073656,0.33898240071506974,-1.041036788958747,0.197548508644104
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.0_10_zeta_0.5_0.001_gauss_delta_mu_0.25_gauss_width_0.1,0.5,0.001,0.5,1.0,0.0,0.16700020368497281,-0.20091859153574254,0.2597996927423438,-0.5598005676453416,0.1556937634739442,0.054554072326472684,0.3469623128840402,-1.0682074294885764,0.2053262144327163
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.4_10_zeta_1.5_0.001_gauss_delta_mu_0.25_gauss_width_0.1,1.5,0.001,0.5,1.0,0.4,0.11240640442212063,0.12507652170155206,0.11770100179833254,0.14502717123839448,0.22805305824788732,0.17216197485357004,0.11470017758870073,-0.0032888178133731673,1.1178278923034668
