res_group_mapping,MJ_min,MJ_max,zeta1,zeta2,IDP_weight,OP_weight,MDP_weight,train_IDP_rRMSE,train_IDP_delta,test_IDP_rRMSE,test_IDP_delta,train_OP_rRMSE,train_OP_delta,train_MDP_rRMSE,train_MDP_delta
default,0.0,0.8,0.1,0.1,0.5,1.0,1.0,0.0978014458575431,0.09236753125874148,0.12908770405749548,0.08476886809746757,0.16139625036458075,0.110120907300485,0.21215428786032367,-0.6086085116362564
default,0.0,0.8,0.008,0.005,0.9,1.0,1.0,0.08986677909728771,0.052849346161402064,0.11584652525350558,0.07096672291812421,0.18161526460635163,0.1113317847410086,0.17880539358570605,-0.49573807066344816
default,0.0,0.8,40.0,50.0,0.25,0.5,0.5,0.10665257590718763,0.11934180569015944,0.18960090077465758,0.3100632474065232,0.3340667483301499,0.2939175637832238,0.18852233499811274,-0.42212751062625525
default,0.0,0.8,20.0,30.0,0.0,1.0,0.5,0.10118897767825002,0.10267167610739492,0.19715893235213638,0.3250847286336749,0.25783555654502405,0.1957688052709361,0.26327742733801973,-0.7042152130199735
default,0.0,0.8,1.0,5.0,0.5,0.5,0.5,0.09465296764060083,0.07474657526257672,0.1550807247982157,0.2009600762519344,0.18443826691741538,0.12176964270816366,0.2618632216662092,-0.7528102251703899
default,0.0,0.8,5.0,1.0,0.0,0.0,1.0,0.12697451035017568,0.16876175881506647,0.13396614279311775,0.1851448820783461,0.322165085298182,0.27497370970212226,0.17379427973254336,-0.45663830573467507
default,0.0,0.8,20.0,30.0,0.5,1.0,0.0,0.11920589794346818,-0.1468917627143612,0.16814069838038848,-0.08490745654744633,0.17004093352554475,0.08886834779877505,0.36108256576718406,-1.1478426209742563
default,0.0,0.8,20.0,30.0,0.75,0.5,0.75,0.09181604958451091,0.08905152761527584,0.1671930183400045,0.23427040751672756,0.30163921902625035,0.2586340874646967,0.20990482798375268,-0.5433623204657863
default,0.0,0.8,20.0,30.0,0.0,0.0,1.0,0.13221857761364736,0.1733323763038448,0.17856001765018678,0.31894671826707266,0.3866287057679537,0.34979720846638146,0.12867723220624394,-0.025910712598406722
default,0.0,0.8,1.0,1.0,0.5,1.0,0.0,0.26439005260411413,-0.45491140291937854,0.3554418581269467,-0.8940659136841843,0.11510404144580497,-0.015063551987377683,0.39519295352921147,-1.2689841731158582
default,0.0,0.8,1.0,5.0,0.5,0.5,1.0,0.10511062486453056,0.11223830694426368,0.14108886145956262,0.17576392979998007,0.2101354285063184,0.15496862749443358,0.2250037680415134,-0.6273754005294527
default,0.0,0.8,5.0,1.0,0.0,0.0,0.5,0.12877053164954586,0.1711615727943838,0.14040860521508144,0.20819329020130536,0.35550378065938265,0.3039531818372716,0.16008597803202362,-0.3937501837303988
default,0.0,0.8,1.0,10.0,0.5,0.0,0.5,0.08351668868165932,0.06641742089884262,0.13396692136563962,0.11790116818892507,0.34757118884816324,0.31377382233079665,0.1529664314494319,-0.3911154910022135
