,MOFF2 Gaussian,Density profile,Hassanali_nBranch <nbr> (2023),Meek (1980),Wimley-White (1996),HPS-Urry λ,FDewet_a03ws (2024),FDewet_a99SBdisp (2024),FDewet_C36m (2024),PARCH (2023),Kyte-Doolittle (1982),Tanford (1962),Eisenberg (1984),Engelman GES (1986),Janin (1979),Hopp-Woods (1981),Black-Mould (1991),Cornette (1987),MOFF2 λ,MJ ε,Rose (1985),Biou accessibility information value,Bandyopadhyay-Mehler (2008),Jain (2017),Ponnuswamy average gain in surrounding hydrophobicity,Ponnuswamy surrounding hydrophobicity folded form
Kyte-Doolittle (1982),1.0003167976472174,0.8942816951318627,0.9404708868855027,0.4785721794507636,0.5002239606545946,0.5770108495690145,0.3844498691132129,0.2661104442204093,0.2921435218234878,0.26092664721866343,0.0,0.12080447693516838,0.12140753542824467,0.15047137118692067,0.13407728240791783,0.3032678740542143,0.16425134286353105,0.19298267034004635,0.25748283979335285,0.17639675500287966,0.15902537005362138,0.17143037941482353,0.14433427437546653,0.20155088620950723,0.2530604639251153,0.32933616663324905
Tanford (1962),0.8405318363561323,0.6760716807664834,0.9608125942822588,0.4829167709394693,0.48891218752572885,0.5328209079856155,0.5087622643597127,0.36874577237520767,0.3977041441940842,0.3374604715316223,0.12080447693516838,0.0,0.028112118633727645,0.13177864027810038,0.12071048248683891,0.2248821910333464,0.16267272310778824,0.36230394704778757,0.37044450377016525,0.22449123187721032,0.21755240780580665,0.2123606726641729,0.24099760231524137,0.25171003819182025,0.37877312957694387,0.4142629789790089
Eisenberg (1984),0.8238051300224403,0.665970026769888,0.912652811587711,0.42437219759570355,0.41460849025003743,0.46063932580169475,0.4451924761124417,0.29299814689649883,0.34468609117487503,0.28657463886356005,0.12140753542824467,0.028112118633727645,0.0,0.06454749911355184,0.09994731157740278,0.15396002105868067,0.11495524139577162,0.35550503148321644,0.3238823151336476,0.2150884523513248,0.19360724562109222,0.18882596730483314,0.21557121487998165,0.23580457999140103,0.38823975409750344,0.44500827978250757
Engelman GES (1986),0.8942842324436613,0.7398651445479476,0.9318547653483068,0.4010415372050057,0.3459200555419303,0.3565366327843037,0.31433404488123484,0.16968337708171488,0.2534376371386866,0.2514082427103954,0.15047137118692067,0.13177864027810038,0.06454749911355184,0.0,0.11011068928422318,0.11829576581048151,0.13485239627089252,0.38235436679545576,0.3597587555552215,0.2793611939047258,0.2124310085835468,0.22097341298685358,0.21823047005791585,0.2783047336723157,0.37989055876030586,0.4318925878695393
Janin (1979),0.8979681619645228,0.9645092595989371,1.0669135291217464,0.6084219553370911,0.4895062015655073,0.5071496613354525,0.47692561978524695,0.36303058090325535,0.4219289572513172,0.19525189178576774,0.13407728240791783,0.12071048248683891,0.09994731157740278,0.11011068928422318,0.0,0.21928580989120072,0.2703264602580504,0.30082925465703014,0.3662660629113209,0.25627816944527737,0.10836623753778873,0.15168514827998036,0.16938767414863598,0.28142735885071823,0.27037917284668234,0.33465460994033214
Hopp-Woods (1981),0.9134218327774742,0.5719616595734673,0.5829026264963468,0.2735167158513826,0.14555842629654658,0.14485915328107302,0.2384057672114297,0.16684794283002247,0.1993342344164385,0.3054903183105173,0.3032678740542143,0.2248821910333464,0.15396002105868067,0.11829576581048151,0.21928580989120072,0.0,0.12087491042065945,0.32279325052427277,0.22905977483252937,0.18558888989507905,0.1745208945503831,0.15240668356889353,0.17197674680367714,0.1712197045607513,0.39653041093122554,0.42044849409846363
Black-Mould (1991),0.9903118228779323,0.5430041822799105,0.5849769544732679,0.22247830679969138,0.22077994577759075,0.27887422554655195,0.2451762632477722,0.1337518646631104,0.16295022045408736,0.35598065718816785,0.16425134286353105,0.16267272310778824,0.11495524139577162,0.13485239627089252,0.2703264602580504,0.12087491042065945,0.0,0.27052001279902727,0.17048718450126987,0.1456416170941679,0.22093744854078412,0.16067426264718254,0.14313818612879314,0.17525289763948404,0.3884384484429657,0.4357329169368548
Cornette (1987),0.9581871751352832,0.8119528975604486,0.6039526132981585,0.4761714887839844,0.3881550078255971,0.46511124368817647,0.3277245265347595,0.32488875618362156,0.3083330669568436,0.38651117320717143,0.19298267034004635,0.36230394704778757,0.35550503148321644,0.38235436679545576,0.30082925465703014,0.32279325052427277,0.27052001279902727,0.0,0.11876563362994319,0.09287453862725625,0.11544794135338854,0.12317830736690627,0.12744446547304045,0.17933870674185048,0.2125206346136843,0.2375780881452163
MOFF2 λ,0.949334171143008,0.6260025954287084,0.4106400783840919,0.3346767827072956,0.2355813965693263,0.3604117329646823,0.33859925166062954,0.3016160789418578,0.2656576342823387,0.4181974958712842,0.25748283979335285,0.37044450377016525,0.3238823151336476,0.3597587555552215,0.3662660629113209,0.22905977483252937,0.17048718450126987,0.11876563362994319,0.0,0.05374220785188366,0.14157157443332002,0.09902642660102834,0.13421182184151237,0.13953550059485964,0.38095583420633994,0.41637409047563334
MJ ε,0.9106909993372818,0.5974319873124048,0.47932495002211306,0.32319924769067787,0.2673655880531808,0.3684060851789469,0.345968906775723,0.2925279447720146,0.252725735091768,0.37559897768099015,0.17639675500287966,0.22449123187721032,0.2150884523513248,0.2793611939047258,0.25627816944527737,0.18558888989507905,0.1456416170941679,0.09287453862725625,0.05374220785188366,0.0,0.08485062774258356,0.04997883232678568,0.09359087817322342,0.08963070863202427,0.30892332459140215,0.34438535790362157
Rose (1985),0.9596739186841193,0.7991842333422189,0.695314843094453,0.4847003395853353,0.3140874643494058,0.3777050527433775,0.35834819811296137,0.3036345879737613,0.31998572304481865,0.27732378252551204,0.15902537005362138,0.21755240780580665,0.19360724562109222,0.2124310085835468,0.10836623753778873,0.1745208945503831,0.22093744854078412,0.11544794135338854,0.14157157443332002,0.08485062774258356,0.0,0.01922852232468797,0.05737294709899177,0.16172570307942302,0.18004024350884462,0.2192870549511039
Biou accessibility information value,0.9641039930780109,0.7185488083138101,0.5817866227857545,0.3976480118188158,0.25855642677936785,0.3167004382280296,0.31716528915210773,0.26062994954000573,0.2500842988716798,0.31501719929386185,0.17143037941482353,0.2123606726641729,0.18882596730483314,0.22097341298685358,0.15168514827998036,0.15240668356889353,0.16067426264718254,0.12317830736690627,0.09902642660102834,0.04997883232678568,0.01922852232468797,0.0,0.044297977612477,0.1275643288641981,0.2319666804327427,0.2661517216209106
Bandyopadhyay-Mehler (2008),1.144069383712847,0.8356703154723362,0.615578309275717,0.42360231033545315,0.30644349860860687,0.32742352495413873,0.29430847095123047,0.21941629017752695,0.2294528952295064,0.2451315308468438,0.14433427437546653,0.24099760231524137,0.21557121487998165,0.21823047005791585,0.16938767414863598,0.17197674680367714,0.14313818612879314,0.12744446547304045,0.13421182184151237,0.09359087817322342,0.05737294709899177,0.044297977612477,0.0,0.14910675914447702,0.18078740087164258,0.24283738786033993
Jain (2017),0.8934638227979235,0.6668830325397129,0.5380168488888679,0.29884808779566985,0.290998256199659,0.34125077079013066,0.3138020479790944,0.2490972381505624,0.17819369653058958,0.33155308093405167,0.20155088620950723,0.25171003819182025,0.23580457999140103,0.2783047336723157,0.28142735885071823,0.1712197045607513,0.17525289763948404,0.17933870674185048,0.13953550059485964,0.08963070863202427,0.16172570307942302,0.1275643288641981,0.14910675914447702,0.0,0.3190825276603527,0.4017461358460199
Ponnuswamy average gain in surrounding hydrophobicity,1.035200202811814,0.97041749555682,0.842251821521246,0.7294465427434714,0.568165726915468,0.5754869832071836,0.47420235453311443,0.3968372207908617,0.4293479964583139,0.38508761979681383,0.2530604639251153,0.37877312957694387,0.38823975409750344,0.37989055876030586,0.27037917284668234,0.39653041093122554,0.3884384484429657,0.2125206346136843,0.38095583420633994,0.30892332459140215,0.18004024350884462,0.2319666804327427,0.18078740087164258,0.3190825276603527,0.0,0.04324260458526519
Ponnuswamy surrounding hydrophobicity folded form,1.0498005846174634,0.9208813606187524,0.82465892880331,0.8055983036964508,0.572526451328508,0.5805604054295502,0.49304118128996766,0.43939686382891985,0.4663369417225608,0.4818182252485498,0.32933616663324905,0.4142629789790089,0.44500827978250757,0.4318925878695393,0.33465460994033214,0.42044849409846363,0.4357329169368548,0.2375780881452163,0.41637409047563334,0.34438535790362157,0.2192870549511039,0.2661517216209106,0.24283738786033993,0.4017461358460199,0.04324260458526519,0.0
