,MOFF2 λ,MOFF2 Gaussian,Density profile,MJ ε,HPS-Urry λ,Bandyopadhyay-Mehler (2008),Biou accessibility information value,Black-Mould (1991),Cornette (1987),Eisenberg (1984),Engelman GES (1986),FDewet_C36m (2024),FDewet_a03ws (2024),FDewet_a99SBdisp (2024),Hassanali_nBranch <nbr> (2023),Hopp-Woods (1981),Jain (2017),Janin (1979),Kyte-Doolittle (1982),Meek (1980),PARCH (2023),Ponnuswamy average gain in surrounding hydrophobicity,Ponnuswamy surrounding hydrophobicity folded form,Rose (1985),Tanford (1962),Wimley-White (1996)
Engelman GES (1986),0.3597587555552215,0.8942842324436613,0.7398651445479476,0.2793611939047258,0.3565366327843037,0.21823047005791585,0.22097341298685358,0.13485239627089252,0.38235436679545576,0.06454749911355184,0.0,0.2534376371386866,0.31433404488123484,0.16968337708171488,0.9318547653483068,0.11829576581048151,0.2783047336723157,0.11011068928422318,0.15047137118692067,0.4010415372050057,0.2514082427103954,0.37989055876030586,0.4318925878695393,0.2124310085835468,0.13177864027810038,0.3459200555419303
FDewet_C36m (2024),0.2656576342823387,1.0061871590489466,0.6925477499361152,0.252725735091768,0.1684179793403182,0.2294528952295064,0.2500842988716798,0.16295022045408736,0.3083330669568436,0.34468609117487503,0.2534376371386866,0.0,0.07335393930672018,0.035784247183025086,0.515915529973299,0.1993342344164385,0.17819369653058958,0.4219289572513172,0.2921435218234878,0.19602795042033372,0.4059924664444381,0.4293479964583139,0.4663369417225608,0.31998572304481865,0.3977041441940842,0.24050562515645668
FDewet_a03ws (2024),0.33859925166062954,1.0807989505199431,0.7204985541347028,0.345968906775723,0.11421194742917362,0.29430847095123047,0.31716528915210773,0.2451762632477722,0.3277245265347595,0.4451924761124417,0.31433404488123484,0.07335393930672018,0.0,0.05207907195163308,0.5623824534995121,0.2384057672114297,0.3138020479790944,0.47692561978524695,0.3844498691132129,0.17723408810639918,0.48181603673463125,0.47420235453311443,0.49304118128996766,0.35834819811296137,0.5087622643597127,0.1750455160478528
FDewet_a99SBdisp (2024),0.3016160789418578,1.0342926374207628,0.6938879996490936,0.2925279447720146,0.15727024919660892,0.21941629017752695,0.26062994954000573,0.1337518646631104,0.32488875618362156,0.29299814689649883,0.16968337708171488,0.035784247183025086,0.05207907195163308,0.0,0.60691789796225,0.16684794283002247,0.2490972381505624,0.36303058090325535,0.2661104442204093,0.20087777468512413,0.35199329705848315,0.3968372207908617,0.43939686382891985,0.3036345879737613,0.36874577237520767,0.2229388368319647
Hassanali_nBranch <nbr> (2023),0.4106400783840919,1.0577149988447938,0.4940354371815654,0.47932495002211306,0.4252393345387696,0.615578309275717,0.5817866227857545,0.5849769544732679,0.6039526132981585,0.912652811587711,0.9318547653483068,0.515915529973299,0.5623824534995121,0.60691789796225,0.0,0.5829026264963468,0.5380168488888679,1.0669135291217464,0.9404708868855027,0.3923209295252832,0.9105252503568997,0.842251821521246,0.82465892880331,0.695314843094453,0.9608125942822588,0.4061944912641904
Hopp-Woods (1981),0.22905977483252937,0.9134218327774742,0.5719616595734673,0.18558888989507905,0.14485915328107302,0.17197674680367714,0.15240668356889353,0.12087491042065945,0.32279325052427277,0.15396002105868067,0.11829576581048151,0.1993342344164385,0.2384057672114297,0.16684794283002247,0.5829026264963468,0.0,0.1712197045607513,0.21928580989120072,0.3032678740542143,0.2735167158513826,0.3054903183105173,0.39653041093122554,0.42044849409846363,0.1745208945503831,0.2248821910333464,0.14555842629654658
Jain (2017),0.13953550059485964,0.8934638227979235,0.6668830325397129,0.08963070863202427,0.34125077079013066,0.14910675914447702,0.1275643288641981,0.17525289763948404,0.17933870674185048,0.23580457999140103,0.2783047336723157,0.17819369653058958,0.3138020479790944,0.2490972381505624,0.5380168488888679,0.1712197045607513,0.0,0.28142735885071823,0.20155088620950723,0.29884808779566985,0.33155308093405167,0.3190825276603527,0.4017461358460199,0.16172570307942302,0.25171003819182025,0.290998256199659
Janin (1979),0.3662660629113209,0.8979681619645228,0.9645092595989371,0.25627816944527737,0.5071496613354525,0.16938767414863598,0.15168514827998036,0.2703264602580504,0.30082925465703014,0.09994731157740278,0.11011068928422318,0.4219289572513172,0.47692561978524695,0.36303058090325535,1.0669135291217464,0.21928580989120072,0.28142735885071823,0.0,0.13407728240791783,0.6084219553370911,0.19525189178576774,0.27037917284668234,0.33465460994033214,0.10836623753778873,0.12071048248683891,0.4895062015655073
Kyte-Doolittle (1982),0.25748283979335285,1.0003167976472174,0.8942816951318627,0.17639675500287966,0.5770108495690145,0.14433427437546653,0.17143037941482353,0.16425134286353105,0.19298267034004635,0.12140753542824467,0.15047137118692067,0.2921435218234878,0.3844498691132129,0.2661104442204093,0.9404708868855027,0.3032678740542143,0.20155088620950723,0.13407728240791783,0.0,0.4785721794507636,0.26092664721866343,0.2530604639251153,0.32933616663324905,0.15902537005362138,0.12080447693516838,0.5002239606545946
Meek (1980),0.3346767827072956,0.9151503369662632,0.44791000311798856,0.32319924769067787,0.18913538759282122,0.42360231033545315,0.3976480118188158,0.22247830679969138,0.4761714887839844,0.42437219759570355,0.4010415372050057,0.19602795042033372,0.17723408810639918,0.20087777468512413,0.3923209295252832,0.2735167158513826,0.29884808779566985,0.6084219553370911,0.4785721794507636,0.0,0.5899614970594684,0.7294465427434714,0.8055983036964508,0.4847003395853353,0.4829167709394693,0.162752087687712
PARCH (2023),0.4181974958712842,1.064050129403748,1.121199812128923,0.37559897768099015,0.5384766303462875,0.2451315308468438,0.31501719929386185,0.35598065718816785,0.38651117320717143,0.28657463886356005,0.2514082427103954,0.4059924664444381,0.48181603673463125,0.35199329705848315,0.9105252503568997,0.3054903183105173,0.33155308093405167,0.19525189178576774,0.26092664721866343,0.5899614970594684,0.0,0.38508761979681383,0.4818182252485498,0.27732378252551204,0.3374604715316223,0.6243446301036907
Ponnuswamy average gain in surrounding hydrophobicity,0.38095583420633994,1.035200202811814,0.97041749555682,0.30892332459140215,0.5754869832071836,0.18078740087164258,0.2319666804327427,0.3884384484429657,0.2125206346136843,0.38823975409750344,0.37989055876030586,0.4293479964583139,0.47420235453311443,0.3968372207908617,0.842251821521246,0.39653041093122554,0.3190825276603527,0.27037917284668234,0.2530604639251153,0.7294465427434714,0.38508761979681383,0.0,0.04324260458526519,0.18004024350884462,0.37877312957694387,0.568165726915468
Ponnuswamy surrounding hydrophobicity folded form,0.41637409047563334,1.0498005846174634,0.9208813606187524,0.34438535790362157,0.5805604054295502,0.24283738786033993,0.2661517216209106,0.4357329169368548,0.2375780881452163,0.44500827978250757,0.4318925878695393,0.4663369417225608,0.49304118128996766,0.43939686382891985,0.82465892880331,0.42044849409846363,0.4017461358460199,0.33465460994033214,0.32933616663324905,0.8055983036964508,0.4818182252485498,0.04324260458526519,0.0,0.2192870549511039,0.4142629789790089,0.572526451328508
Rose (1985),0.14157157443332002,0.9596739186841193,0.7991842333422189,0.08485062774258356,0.3777050527433775,0.05737294709899177,0.01922852232468797,0.22093744854078412,0.11544794135338854,0.19360724562109222,0.2124310085835468,0.31998572304481865,0.35834819811296137,0.3036345879737613,0.695314843094453,0.1745208945503831,0.16172570307942302,0.10836623753778873,0.15902537005362138,0.4847003395853353,0.27732378252551204,0.18004024350884462,0.2192870549511039,0.0,0.21755240780580665,0.3140874643494058
Tanford (1962),0.37044450377016525,0.8405318363561323,0.6760716807664834,0.22449123187721032,0.5328209079856155,0.24099760231524137,0.2123606726641729,0.16267272310778824,0.36230394704778757,0.028112118633727645,0.13177864027810038,0.3977041441940842,0.5087622643597127,0.36874577237520767,0.9608125942822588,0.2248821910333464,0.25171003819182025,0.12071048248683891,0.12080447693516838,0.4829167709394693,0.3374604715316223,0.37877312957694387,0.4142629789790089,0.21755240780580665,0.0,0.48891218752572885
Wimley-White (1996),0.2355813965693263,1.029834044549154,0.4807581459182465,0.2673655880531808,0.09371674423106557,0.30644349860860687,0.25855642677936785,0.22077994577759075,0.3881550078255971,0.41460849025003743,0.3459200555419303,0.24050562515645668,0.1750455160478528,0.2229388368319647,0.4061944912641904,0.14555842629654658,0.290998256199659,0.4895062015655073,0.5002239606545946,0.162752087687712,0.6243446301036907,0.568165726915468,0.572526451328508,0.3140874643494058,0.48891218752572885,0.0
