PC1_1,PC1_2,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,n_AA
HPS-Urry λ,FDewet_a99SBdisp (2024),0.8427297508033909,3.112235631324093e-06,0.7663912246225257,8.124644137102053e-05,0.8427297508033909,0.7663912246225257,20
HPS-Urry λ,Hassanali_nBranch <nbr> (2023),0.5747606654612303,0.00802884547090537,0.5958579304557347,0.005564438549124274,0.5747606654612303,0.5958579304557347,20
HPS-Urry λ,Hopp-Woods (1981),0.855140846718927,1.5576412479443712e-06,0.8898196310158817,1.5140586912991953e-07,0.855140846718927,0.8898196310158817,20
HPS-Urry λ,Jain (2017),0.6587492292098692,0.0015857120977434173,0.697553026045525,0.0006284658138206847,0.6587492292098692,0.697553026045525,20
HPS-Urry λ,Janin (1979),0.49285033866454747,0.027251865500413974,0.5879911042681669,0.0063977964113799725,0.49285033866454747,0.5879911042681669,20
HPS-Urry λ,Kyte-Doolittle (1982),0.42298915043098567,0.06314185246920567,0.5296795853360632,0.01630853845561247,0.42298915043098567,0.5296795853360632,20
HPS-Urry λ,Meek (1980),0.8108646124071789,1.4472379392656095e-05,0.7530168053868995,0.00012711604702987935,0.8108646124071789,0.7530168053868995,20
HPS-Urry λ,PARCH (2023),0.46152336965371266,0.040521837423396226,0.4498874740409517,0.04655770149543277,0.46152336965371266,0.4498874740409517,20
HPS-Urry λ,Ponnuswamy average gain in surrounding hydrophobicity,0.4245130167928164,0.062097493919554984,0.5086667420061012,0.02200399507729349,0.4245130167928164,0.5086667420061012,20
HPS-Urry λ,Ponnuswamy surrounding hydrophobicity folded form,0.4194395945704498,0.0656258384497735,0.5035811738300526,0.023595305444633733,0.4194395945704498,0.5035811738300526,20
HPS-Urry λ,Rose (1985),0.6222949472566228,0.0033895525319520637,0.7330825952652581,0.00023590333324299665,0.6222949472566228,0.7330825952652581,20
HPS-Urry λ,Tanford (1962),0.4671790920143845,0.03781618382444879,0.631262889661069,0.002836320996847091,0.4671790920143845,0.631262889661069,20
HPS-Urry λ,Wimley-White (1996),0.9062832557689345,3.7535243485020316e-08,0.7754341889248564,5.9034784307106156e-05,0.9062832557689345,0.7754341889248564,20
Density profile,Bandyopadhyay-Mehler (2008),0.1643296845276638,0.48874016731863223,0.1819548872180451,0.44262106677574986,0.1643296845276638,0.1819548872180451,20
Density profile,Biou accessibility information value,0.28145119168619,0.229312629809159,0.2753951118208531,0.2399149008335432,0.28145119168619,0.2753951118208531,20
Density profile,Black-Mould (1991),0.45699581772008946,0.04279380769435465,0.4920994621061145,0.027523530272056573,0.45699581772008946,0.4920994621061145,20
Density profile,Cornette (1987),0.1880471024395515,0.4272280579923251,0.1873589695174656,0.4289523125300877,0.1880471024395515,0.1873589695174656,20
Density profile,Eisenberg (1984),0.3340299732301121,0.1500459125797928,0.3218045112781954,0.166474348578758,0.3340299732301121,0.3218045112781954,20
Density profile,Engelman GES (1986),0.2601348554520524,0.2680099134786271,0.29172932330827067,0.21202623258054837,0.2601348554520524,0.29172932330827067,20
Density profile,FDewet_C36m (2024),0.3074522500638848,0.18728743276124654,0.3708161225003741,0.10749552930091007,0.3074522500638848,0.3708161225003741,20
Density profile,FDewet_a03ws (2024),0.27950144586529724,0.2326921801079609,0.3747179390349312,0.10355978770804908,0.27950144586529724,0.3747179390349312,20
Density profile,FDewet_a99SBdisp (2024),0.30611200035090624,0.18931659618266966,0.3843550478654993,0.09428866374741529,0.30611200035090624,0.3843550478654993,20
Density profile,Hassanali_nBranch <nbr> (2023),0.5059645628184344,0.022838552915715897,0.5624060150375939,0.00984430003305582,0.5059645628184344,0.5624060150375939,20
Density profile,Hopp-Woods (1981),0.42803834042653266,0.059731521362704584,0.5094553548181795,0.021765056257333805,0.42803834042653266,0.5094553548181795,20
Density profile,Jain (2017),0.3331169674602871,0.1512321594012961,0.3293233082706767,0.15623105162611672,0.3331169674602871,0.3293233082706767,20
Density profile,Janin (1979),0.03549074040106294,0.8819121409646676,0.08443301158150714,0.7234020956407847,0.03549074040106294,0.08443301158150714,20
Density profile,Kyte-Doolittle (1982),0.10571830486813738,0.6573383967234543,0.1569822497885984,0.5086387117001021,0.10571830486813738,0.1569822497885984,20
Density profile,Meek (1980),0.5520899968820115,0.01160401823776603,0.5750850485461165,0.00798515141922311,0.5520899968820115,0.5750850485461165,20
Density profile,PARCH (2023),-0.12119981212892303,0.6107489329079349,-0.060925164143063495,0.79860081900868,0.12119981212892303,0.060925164143063495,20
Density profile,Ponnuswamy average gain in surrounding hydrophobicity,0.029582504443180023,0.9014697333340386,0.039864613575090926,0.8674752870490825,0.029582504443180023,0.039864613575090926,20
Density profile,Ponnuswamy surrounding hydrophobicity folded form,0.0791186393812476,0.7402164426031996,0.05793831587487893,0.8082939622037748,0.0791186393812476,0.05793831587487893,20
Density profile,Rose (1985),0.20081576665778123,0.39591101033142123,0.20377503578327677,0.3888387670785557,0.20081576665778123,0.20377503578327677,20
Density profile,Tanford (1962),0.3239283192335167,0.16353543739375004,0.33684210526315783,0.1464329432946607,0.3239283192335167,0.33684210526315783,20
Density profile,Wimley-White (1996),0.5192418540817535,0.018967807600720955,0.4919142882662163,0.02759085219109949,0.5192418540817535,0.4919142882662163,20
Bandyopadhyay-Mehler (2008),Biou accessibility information value,0.9557020223875231,5.309987202671883e-11,0.9653877826944114,5.971727735936764e-12,0.9557020223875231,0.9653877826944114,20
Bandyopadhyay-Mehler (2008),Black-Mould (1991),0.8568618138712067,1.4080403654470383e-06,0.8502635966053661,2.0595820987367702e-06,0.8568618138712067,0.8502635966053661,20
Bandyopadhyay-Mehler (2008),Cornette (1987),0.8725555345269598,5.256545028874871e-07,0.842739139998239,3.1106762698117027e-06,0.8725555345269598,0.842739139998239,20
Bandyopadhyay-Mehler (2008),Eisenberg (1984),0.7844287851200186,4.2344732569654216e-05,0.863157894736842,9.62152319092783e-07,0.7844287851200186,0.863157894736842,20
Bandyopadhyay-Mehler (2008),Engelman GES (1986),0.7817695299420844,4.679016110185033e-05,0.8586466165413533,1.2663006456217198e-06,0.7817695299420844,0.8586466165413533,20
Bandyopadhyay-Mehler (2008),FDewet_C36m (2024),0.7705471047704938,7.027924728249271e-05,0.8544566230434583,1.6208681319115611e-06,0.7705471047704938,0.8544566230434583,20
Bandyopadhyay-Mehler (2008),FDewet_a03ws (2024),0.7056915290487694,0.000508349159429418,0.8931529992659908,1.1628494327393133e-07,0.7056915290487694,0.8931529992659908,20
Bandyopadhyay-Mehler (2008),FDewet_a99SBdisp (2024),0.780583709822473,4.889875947729203e-05,0.8747650110911462,4.528854512764428e-07,0.780583709822473,0.8747650110911462,20
Bandyopadhyay-Mehler (2008),Hassanali_nBranch <nbr> (2023),0.384421690724283,0.0942267454187509,0.3639097744360902,0.11472526385210588,0.384421690724283,0.3639097744360902,20
Bandyopadhyay-Mehler (2008),Hopp-Woods (1981),0.828023253196323,6.57362996198594e-06,0.8873895942975412,1.8256929201846132e-07,0.828023253196323,0.8873895942975412,20
Bandyopadhyay-Mehler (2008),Jain (2017),0.8508932408555229,1.9877325343574425e-06,0.8406015037593983,3.483775929626355e-06,0.8508932408555229,0.8406015037593983,20
Bandyopadhyay-Mehler (2008),Janin (1979),0.8306123258513637,5.792548104264291e-06,0.8910698186548344,1.3727347076153013e-07,0.8306123258513637,0.8910698186548344,20
Bandyopadhyay-Mehler (2008),Kyte-Doolittle (1982),0.8556657256245336,1.510609440591097e-06,0.8558551502897624,1.4939432643494905e-06,0.8556657256245336,0.8558551502897624,20
Bandyopadhyay-Mehler (2008),Meek (1980),0.5763976896645469,0.0078103185998342345,0.6262706287832054,0.0031341645049770346,0.5763976896645469,0.6262706287832054,20
Bandyopadhyay-Mehler (2008),PARCH (2023),0.7548684691531563,0.00011967620381536965,0.7604363080078667,9.95118457023394e-05,0.7548684691531563,0.7604363080078667,20
Bandyopadhyay-Mehler (2008),Ponnuswamy average gain in surrounding hydrophobicity,0.8192125991283574,9.959356080228885e-06,0.7837533461366933,4.343778762654364e-05,0.8192125991283574,0.7837533461366933,20
Bandyopadhyay-Mehler (2008),Ponnuswamy surrounding hydrophobicity folded form,0.7571626121396602,0.00011097949268048447,0.7080513667306633,0.0004774075433686049,0.7571626121396602,0.7080513667306633,20
