,MOFF2 λ,MOFF2 Gaussian,delta_W*,MJ ε,HPS-Urry λ,Density profile,Bandyopadhyay-Mehler (2008),Biou accessibility information value,Black-Mould (1991),Cornette (1987),Eisenberg (1984),Engelman GES (1986),FDewet_C36m (2024),FDewet_a03ws (2024),FDewet_a99SBdisp (2024),Hassanali_nBranch <nbr> (2023),Hopp-Woods (1981),Jain (2017),Janin (1979),Kyte-Doolittle (1982),Meek (1980),PARCH (2023),Ponnuswamy average gain in surrounding hydrophobicity,Ponnuswamy surrounding hydrophobicity folded form,Rose (1985),Tanford (1962),Wimley-White (1996)
Eisenberg (1984),0.6761176848663524,0.17619486997755973,0.5544157118523714,0.7849115476486752,0.5393606741983051,0.3340299732301121,0.7844287851200186,0.8111740326951666,0.8850447586042285,0.6444949685167838,1.0,0.935452500886448,0.6553139088251249,0.5548075238875584,0.7070018531035009,0.08734718841228896,0.8460399789413194,0.7641954200085987,0.9000526884225973,0.8785924645717552,0.5756278024042963,0.7134253611364397,0.6117602459024964,0.5549917202174924,0.8063927543789079,0.9718878813662725,0.5853915097499626
Engelman GES (1986),0.6402412444447785,0.1057157675563387,0.5801621239940848,0.7206388060952742,0.6434633672156965,0.2601348554520524,0.7817695299420844,0.7790265870131464,0.8651476037291076,0.6176456332045445,0.935452500886448,1.0,0.7465623628613137,0.6856659551187653,0.8303166229182851,0.06814523465169328,0.8817042341895187,0.7216952663276844,0.8898893107157768,0.8495286288130797,0.5989584627949943,0.7485917572896049,0.6201094412396944,0.5681074121304608,0.7875689914164534,0.8682213597218997,0.6540799444580697
FDewet_C36m (2024),0.7343423657176612,-0.006187159048946574,0.7215536012819541,0.7472742649082319,0.8315820206596818,0.3074522500638848,0.7705471047704938,0.7499157011283204,0.8370497795459125,0.6916669330431566,0.6553139088251249,0.7465623628613137,1.0,0.9266460606932796,0.9642157528169749,0.48408447002670096,0.8006657655835618,0.8218063034694103,0.5780710427486828,0.7078564781765123,0.8039720495796665,0.5940075335555619,0.570652003541686,0.5336630582774395,0.6800142769551817,0.6022958558059159,0.7594943748435434
FDewet_a03ws (2024),0.6614007483393703,-0.08079895051994317,0.6487474433729773,0.6540310932242772,0.8857880525708265,0.27950144586529724,0.7056915290487694,0.6828347108478925,0.7548237367522277,0.6722754734652405,0.5548075238875584,0.6856659551187653,0.9266460606932796,0.9999999999999997,0.9479209280483667,0.4376175465004878,0.7615942327885704,0.6861979520209054,0.5230743802147529,0.6155501308867871,0.8227659118936007,0.5181839632653688,0.5257976454668855,0.5069588187100322,0.6416518018870389,0.4912377356402872,0.8249544839521469
FDewet_a99SBdisp (2024),0.6983839210581421,-0.03429263742076284,0.6772306189709818,0.7074720552279853,0.8427297508033909,0.30611200035090624,0.780583709822473,0.739370050459994,0.8662481353368895,0.6751112438163783,0.7070018531035009,0.8303166229182851,0.9642157528169749,0.9479209280483667,1.0,0.39308210203774985,0.8331520571699774,0.7509027618494373,0.6369694190967446,0.7338895557795908,0.7991222253148758,0.6480067029415165,0.6031627792091381,0.5606031361710804,0.6963654120262387,0.6312542276247922,0.7770611631680352
Hassanali_nBranch <nbr> (2023),0.5893599216159079,-0.05771499884479381,0.6401611950302609,0.5206750499778867,0.5747606654612303,0.5059645628184344,0.384421690724283,0.4182133772142454,0.415023045526732,0.3960473867018414,0.08734718841228896,0.06814523465169328,0.48408447002670096,0.4376175465004878,0.39308210203774985,1.0,0.41709737350365317,0.461983151111132,-0.06691352912174639,0.05952911311449724,0.6076790704747168,0.08947474964310027,0.15774817847875394,0.17534107119668996,0.3046851569055471,0.03918740571774125,0.5938055087358096
Hopp-Woods (1981),0.7709402251674706,0.08657816722252579,0.7355769395602196,0.8144111101049211,0.855140846718927,0.42803834042653266,0.828023253196323,0.8475933164311066,0.879125089579341,0.6772067494757275,0.8460399789413194,0.8817042341895187,0.8006657655835618,0.7615942327885704,0.8331520571699774,0.41709737350365317,1.0,0.8287802954392485,0.7807141901087993,0.696732125945786,0.7264832841486176,0.6945096816894828,0.6034695890687746,0.5795515059015364,0.8254791054496171,0.7751178089666538,0.8544415737034536
Jain (2017),0.86046449940514,0.1065361772020765,0.7638490910605602,0.9103692913679757,0.6587492292098692,0.3331169674602871,0.8508932408555229,0.8724356711358019,0.8247471023605158,0.8206612932581493,0.7641954200085987,0.7216952663276844,0.8218063034694103,0.6861979520209054,0.7509027618494373,0.461983151111132,0.8287802954392485,0.9999999999999998,0.7185726411492817,0.7984491137904927,0.7011519122043302,0.6684469190659482,0.680917472339647,0.59825386415398,0.838274296920577,0.7482899618081797,0.7090017438003409
Janin (1979),0.633733937088679,0.10203183803547727,0.5722998668924472,0.7437218305547225,0.49285033866454747,0.03549074040106294,0.8306123258513637,0.8483148517200197,0.7296735397419496,0.6991707453429699,0.9000526884225973,0.8898893107157768,0.5780710427486828,0.5230743802147529,0.6369694190967446,-0.06691352912174639,0.7807141901087993,0.7185726411492817,1.0,0.8659227175920823,0.391578044662909,0.8047481082142321,0.7296208271533176,0.665345390059668,0.8916337624622114,0.8792895175131609,0.5104937984344926
Kyte-Doolittle (1982),0.7425171602066472,-0.00031679764721740723,0.5708329208099012,0.8236032449971203,0.42298915043098567,0.10571830486813738,0.8556657256245336,0.8285696205851768,0.8357486571364692,0.8070173296599539,0.8785924645717552,0.8495286288130797,0.7078564781765123,0.6155501308867871,0.7338895557795908,0.05952911311449724,0.696732125945786,0.7984491137904927,0.8659227175920823,0.9999999999999999,0.5214278205492364,0.7390733527813367,0.7469395360748847,0.6706638333667512,0.840974629946379,0.8791955230648318,0.49977603934540527
