,MOFF2 λ,MOFF2 Gaussian,delta_W*,MJ ε,HPS-Urry λ,Density profile,Bandyopadhyay-Mehler (2008),Biou accessibility information value,Black-Mould (1991),Cornette (1987),Eisenberg (1984),Engelman GES (1986),FDewet_C36m (2024),FDewet_a03ws (2024),FDewet_a99SBdisp (2024),Hassanali_nBranch <nbr> (2023),Hopp-Woods (1981),Jain (2017),Janin (1979),Kyte-Doolittle (1982),Meek (1980),PARCH (2023),Ponnuswamy average gain in surrounding hydrophobicity,Ponnuswamy surrounding hydrophobicity folded form,Rose (1985),Tanford (1962),Wimley-White (1996)
Eisenberg (1984),0.0010653130685885032,0.45743687874825056,0.011186623201335259,4.1578108937452816e-05,0.014117578653354465,0.1500459125797928,4.2344732569654216e-05,1.427792296372172e-05,2.1783719546078496e-07,0.0021586869924187535,0.0,1.4593470193768494e-09,0.0017105228897387628,0.01111751780039543,0.0004909648886922966,0.7142328098592117,2.6028979733608803e-06,8.761356276927408e-05,6.544470249033226e-08,3.4751623211481555e-07,0.007912477547528128,0.00041286222485572974,0.0041510063862781645,0.011085150151610004,1.7550397409712326e-05,9.405348120319709e-13,0.0066946948728843205
Engelman GES (1986),0.0023598970147071224,0.6573461390778064,0.007326200827052639,0.00033800335026743335,0.0022061153277385358,0.2680099134786271,4.679016110185033e-05,5.1791733117031565e-05,8.497492416859194e-07,0.003709893071742052,1.4593470193768494e-09,0.0,0.00015623685896613184,0.0008466175811847554,5.877462593041263e-06,0.7752890880441958,2.783601889547649e-07,0.00032807796638829195,1.5058586498023958e-07,2.1463082408865635e-06,0.005261566080718402,0.0001465210159983928,0.003537148401033899,0.008969006782570486,3.756894530219691e-05,6.98642711338524e-07,0.0017573188884912683
FDewet_C36m (2024),0.00022722418092943793,0.9793464607006896,0.0003293943021019939,0.0001527675750177449,5.521531604788478e-06,0.18728743276124654,7.027924728249271e-05,0.000140465725197908,4.190216989353659e-06,0.0007296249283293109,0.0017105228897387628,0.00015623685896613184,0.0,4.4655918123508064e-09,8.024212567442668e-12,0.030558167983743535,2.2309213625430614e-05,8.833429322081686e-06,0.0075919904774201085,0.00047990072765264285,1.944188390050356e-05,0.005751928864197832,0.008599381522156333,0.015376209855522273,0.0009709225154459558,0.004950867425380272,0.00010270193772641192
FDewet_a03ws (2024),0.0014946863402835909,0.7348873630277839,0.0019720729531608368,0.0017591933434143942,2.0606160191136972e-07,0.2326921801079609,0.000508349159429418,0.000907091852941041,0.00011985142736151018,0.001165846172285788,0.01111751780039543,0.0008466175811847554,4.4655918123508064e-09,6.3793581318342035e-137,2.2140760438787737e-10,0.053647078613513886,9.570722888646322e-05,0.0008356434847543422,0.01795392139459704,0.003862264434544206,8.445843058658252e-06,0.019255566927775268,0.017260183326755267,0.022528612027514792,0.0022915097242408675,0.02783792281495298,7.616710164660742e-06
FDewet_a99SBdisp (2024),0.0006151932848223531,0.8858731781128731,0.0010375966631107718,0.0004848510459002252,3.112235631324093e-06,0.18931659618266966,4.889875947729203e-05,0.00019524835449406772,7.926538576419035e-07,0.0010909122651571578,0.0004909648886922966,5.877462593041263e-06,8.024212567442668e-12,2.2140760438787737e-10,0.0,0.08643092636821771,5.106096269832949e-06,0.00013609204202350255,0.0025251052576506974,0.0002303118353903677,2.376859099640336e-05,0.002003571179319776,0.004872685882920385,0.010135095872289997,0.0006478573590375705,0.00283681659029265,5.565307840854337e-05
Hassanali_nBranch <nbr> (2023),0.006245861875822457,0.8090197872043232,0.0023638285326579873,0.018583445232665453,0.00802884547090537,0.022838552915715897,0.0942267454187509,0.06650081587624851,0.06881840156263472,0.08387428502072246,0.7142328098592117,0.7752890880441958,0.030558167983743535,0.053647078613513886,0.08643092636821771,0.0,0.06730474905302082,0.040296443066031806,0.7792534560455919,0.8031279475042024,0.004481683477106443,0.7075622169751765,0.5065464585334658,0.4596544207082452,0.19149307564556273,0.869708021874525,0.005772709713389813
Hopp-Woods (1981),6.93112110786888e-05,0.7166488880933427,0.0002189848792617152,1.2375509988299083e-05,1.5576412479443712e-06,0.059731521362704584,6.57362996198594e-06,2.390093222197872e-06,3.347084300690707e-07,0.0010381846605188746,2.6028979733608803e-06,2.783601889547649e-07,2.2309213625430614e-05,9.570722888646322e-05,5.106096269832949e-06,0.06730474905302082,0.0,6.336296631744858e-06,4.866280028166496e-05,0.0006418162333549687,0.00028614734768192627,0.0006791722614099566,0.004845262159548573,0.007403014513354797,7.42881565870531e-06,5.9712551718439686e-05,1.6222836112630282e-06
Jain (2017),1.134909960354888e-06,0.6548444957056918,8.865597316024051e-05,2.5517472813018696e-08,0.0015857120977434173,0.1512321594012961,1.9877325343574425e-06,5.298792683968512e-07,7.692115686192322e-06,9.316041696485068e-06,8.761356276927408e-05,0.00032807796638829195,8.833429322081686e-06,0.0008356434847543422,0.00013609204202350255,0.040296443066031806,6.336296631744858e-06,1.2459683851238688e-139,0.0003581560258961678,2.4430426043434555e-05,0.0005726784889358697,0.0012738533175360982,0.0009500819417545377,0.005329172561102061,3.9337421214724664e-06,0.00014793221958960798,0.0004654065778296031
Janin (1979),0.002697853108027707,0.6686223784853202,0.008366712214936553,0.00017076014919123708,0.027251865500413974,0.8819121409646676,5.792548104264291e-06,2.296520065764943e-06,0.00026082389958979375,0.0006028445496755482,6.544470249033226e-08,1.5058586498023958e-07,0.0075919904774201085,0.01795392139459704,0.0025251052576506974,0.7792534560455919,4.866280028166496e-05,0.0003581560258961678,0.0,8.091760894916664e-07,0.0877494645751137,1.8817143250905346e-05,0.0002612262174262175,0.0013674111481695012,1.3128706317219809e-07,3.308389938802068e-07,0.021453570570690226
Kyte-Doolittle (1982),0.00017725991139500342,0.9989423806963381,0.008573582041982733,8.119803770685534e-06,0.06314185246920567,0.6573383967234543,1.510609440591097e-06,6.401582678822949e-06,4.478578328136139e-06,1.7089076964696855e-05,3.4751623211481555e-07,2.1463082408865635e-06,0.00047990072765264285,0.003862264434544206,0.0002303118353903677,0.8031279475042024,0.0006418162333549687,2.4430426043434555e-05,8.091760894916664e-07,0.0,0.018384069025006083,0.00019702202817413784,0.0001543904817170635,0.0012103320207355606,3.4159738489143267e-06,3.3304611025843796e-07,0.02484450128970545
Meek (1980),0.0013681002262704036,0.7220888681192759,0.0028843332455013725,0.001048229051269612,1.4472379392656095e-05,0.01160401823776603,0.0078103185998342345,0.004945774125626526,5.4726732285714194e-05,0.01775961750578479,0.007912477547528128,0.005261566080718402,1.944188390050356e-05,8.445843058658252e-06,2.376859099640336e-05,0.004481683477106443,0.00028614734768192627,0.0005726784889358697,0.0877494645751137,0.018384069025006083,0.0,0.07255996735203922,0.2486144649868159,0.4114808842510803,0.020057852372606367,0.01955866547161817,4.1477563501160755e-06
PARCH (2023),0.00712307077589977,0.7884897481212765,0.028634126720634936,0.003252194726957337,0.040521837423396226,0.6107489329079349,0.00011967620381536965,0.0008608881780515478,0.002180447106372561,0.004017171144494113,0.00041286222485572974,0.0001465210159983928,0.005751928864197832,0.019255566927775268,0.002003571179319776,0.7075622169751765,0.0006791722614099566,0.0012738533175360982,1.8817143250905346e-05,0.00019702202817413784,0.07255996735203922,0.0,0.003909653251264003,0.019256165818299278,0.0003190854883824736,0.0014569621159270646,0.10263000227549701
Ponnuswamy average gain in surrounding hydrophobicity,0.003611000336132377,0.8828724402545037,0.005530832655725516,0.0007404889075536117,0.062097493919554984,0.9014697333340386,9.959356080228885e-06,7.674892949087258e-05,0.004166623885934019,3.769850602694172e-05,0.0041510063862781645,0.003537148401033899,0.008599381522156333,0.017260183326755267,0.004872685882920385,0.5065464585334658,0.004845262159548573,0.0009500819417545377,0.0002612262174262175,0.0001543904817170635,0.2486144649868159,0.003909653251264003,0.0,4.290675854865094e-11,9.622912130819143e-06,0.003461031810318232,0.05726094791735589
Ponnuswamy surrounding hydrophobicity folded form,0.006902712885998211,0.8348360745836014,0.007789685465511179,0.001699277822907817,0.0656258384497735,0.7402164426031996,0.00011097949268048447,0.00023059507552457143,0.009551269774136666,9.306494687485771e-05,0.011085150151610004,0.008969006782570486,0.015376209855522273,0.022528612027514792,0.010135095872289997,0.4596544207082452,0.007403014513354797,0.005329172561102061,0.0013674111481695012,0.0012103320207355606,0.4114808842510803,0.019256165818299278,4.290675854865094e-11,0.0,4.866504718517433e-05,0.006654595420147739,0.0601059062096009
Rose (1985),1.282930448659053e-06,0.8659543934682348,2.3174049780519583e-05,1.5862687262139105e-08,0.0033895525319520637,0.39591101033142123,5.189407795702303e-10,3.183271817655506e-14,5.1723286340148165e-05,2.2596424966477774e-07,1.7550397409712326e-05,3.756894530219691e-05,0.0009709225154459558,0.0022915097242408675,0.0006478573590375705,0.19149307564556273,7.42881565870531e-06,3.9337421214724664e-06,1.3128706317219809e-07,3.4159738489143267e-06,0.020057852372606367,0.0003190854883824736,9.622912130819143e-06,4.866504718517433e-05,0.0,4.562007206436765e-05,0.0008415160411464676
Tanford (1962),0.0029354121499039418,0.5018631723771134,0.02559271247034331,5.887598556405665e-05,0.03781618382444879,0.16353543739375004,0.00010440278927727117,3.746753929057152e-05,4.130853617633198e-06,0.002487605558666477,9.405348120319709e-13,6.98642711338524e-07,0.004950867425380272,0.02783792281495298,0.00283681659029265,0.869708021874525,5.9712551718439686e-05,0.00014793221958960798,3.308389938802068e-07,3.3304611025843796e-07,0.01955866547161817,0.0014569621159270646,0.003461031810318232,0.006654595420147739,4.562007206436765e-05,0.0,0.02127699267208625
Wimley-White (1996),8.69474056094661e-05,0.9006358851204619,2.9283590580754118e-05,0.00023905863420896424,3.7535243485020316e-08,0.018967807600720955,0.0006957490147074768,0.00018322978095013134,5.142444844052059e-05,0.004144360026762192,0.0066946948728843205,0.0017573188884912683,0.00010270193772641192,7.616710164660742e-06,5.565307840854337e-05,0.005772709713389813,1.6222836112630282e-06,0.0004654065778296031,0.021453570570690226,0.02484450128970545,4.1477563501160755e-06,0.10263000227549701,0.05726094791735589,0.0601059062096009,0.0008415160411464676,0.02127699267208625,0.0
